trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,unix_sec
1,ETH-258146868,1752740925233,1,0.0037,0.00395,87.14,ETH-25JUL25-4200-C,3437.7,sell,1.0,1.0,,,,,,1752740925.233
2,ETH-258154378,1752743162662,0,0.004,0.004163,86.74,ETH-25JUL25-4200-C,3457.51,buy,15.0,15.0,,,,,,1752743162.662
6,ETH-258162057,1752745558816,1,0.0044,0.004518,87.13,ETH-25JUL25-4200-C,3474.37,sell,63.0,63.0,,,,,,1752745558.816
3,ETH-258162054,1752745558816,0,0.0044,0.004518,87.13,ETH-25JUL25-4200-C,3474.37,sell,104.0,104.0,,,,,,1752745558.816
5,ETH-258162056,1752745558816,1,0.0044,0.004518,87.13,ETH-25JUL25-4200-C,3474.37,sell,12.0,12.0,,,,,,1752745558.816
4,ETH-258162055,1752745558816,1,0.0044,0.004518,87.13,ETH-25JUL25-4200-C,3474.37,sell,21.0,21.0,,,,,,1752745558.816
7,ETH-258164787,1752746486492,1,0.0044,0.004517,87.64,ETH-25JUL25-4200-C,3468.94,buy,1.0,1.0,,,,,,1752746486.492
8,ETH-258165470,1752746765103,2,0.0042,0.004239,87.86,ETH-25JUL25-4200-C,3456.92,buy,15.0,15.0,,,,,,1752746765.103
9,ETH-258168728,1752747901537,0,0.0045,0.004566,87.6,ETH-25JUL25-4200-C,3473.41,buy,1.0,1.0,,,,,,1752747901.537
10,ETH-258172723,1752750022722,2,0.0041,0.004208,87.34,ETH-25JUL25-4200-C,3458.69,sell,1.0,1.0,,,,,,1752750022.722
11,ETH-258173353,1752750312756,2,0.004,0.004123,87.52,ETH-25JUL25-4200-C,3452.06,sell,1.0,1.0,,,,,,1752750312.756
12,ETH-258173411,1752750367471,3,0.004,0.0041,87.65,ETH-25JUL25-4200-C,3450.96,sell,2.0,2.0,,,,,,1752750367.471
13,ETH-258173412,1752750367471,3,0.004,0.0041,87.65,ETH-25JUL25-4200-C,3450.96,sell,13.0,13.0,,,,,,1752750367.471
14,ETH-258184186,1752754322596,2,0.0038,0.003823,89.43,ETH-25JUL25-4200-C,3426.43,buy,14.0,14.0,,,,,,1752754322.596
15,ETH-258184187,1752754325231,2,0.0037,0.003826,88.87,ETH-25JUL25-4200-C,3426.86,buy,1.0,1.0,,,,,,1752754325.231
16,ETH-258215637,1752761565023,2,0.0026,0.00265,84.84,ETH-25JUL25-4200-C,3409.24,sell,1.0,1.0,,,,,,1752761565.023
17,ETH-258281876,1752785639012,2,0.0024,0.002393,84.93,ETH-25JUL25-4200-C,3412.46,sell,5.0,5.0,,,,ETH-ICOND-25JUL25-2900_3100_4200_4500,ETH-258281873,1752785639.012
18,ETH-258293163,1752787721078,0,0.0035,0.003547,85.31,ETH-25JUL25-4200-C,3475.93,buy,23.0,23.0,,,,,,1752787721.078
19,ETH-258294901,1752788114618,0,0.0038,0.003497,87.79,ETH-25JUL25-4200-C,3467.26,buy,1.0,1.0,,,,,,1752788114.618
20,ETH-258296199,1752788285846,2,0.0032,0.003202,86.01,ETH-25JUL25-4200-C,3452.0,buy,1.0,1.0,,,,,,1752788285.846
21,ETH-258296200,1752788285969,3,0.0032,0.003202,86.01,ETH-25JUL25-4200-C,3452.0,buy,4.0,4.0,,,,,,1752788285.969
22,ETH-258296220,1752788289261,3,0.0032,0.003236,85.99,ETH-25JUL25-4200-C,3452.18,buy,13.0,13.0,,,,,,1752788289.261
23,ETH-258296310,1752788302562,3,0.0032,0.003253,85.66,ETH-25JUL25-4200-C,3455.34,buy,1.0,1.0,,,,,,1752788302.562
24,ETH-258296497,1752788360404,3,0.0032,0.003053,86.11,ETH-25JUL25-4200-C,3450.92,buy,2.0,2.0,,,,,,1752788360.404
25,ETH-258296718,1752788419784,3,0.0032,0.003179,85.38,ETH-25JUL25-4200-C,3458.03,buy,1.0,1.0,,,,,,1752788419.784
26,ETH-258296928,1752788477239,3,0.0032,0.003206,85.07,ETH-25JUL25-4200-C,3461.85,buy,38.0,38.0,,,,,,1752788477.239
27,ETH-258298107,1752788855895,0,0.0039,0.003566,88.02,ETH-25JUL25-4200-C,3470.52,buy,1.0,1.0,,,,,,1752788855.895
28,ETH-258298880,1752789044308,0,0.004,0.003571,89.06,ETH-25JUL25-4200-C,3465.41,buy,1.0,1.0,,,,,,1752789044.308
29,ETH-258299232,1752789226948,0,0.0041,0.00379,88.51,ETH-25JUL25-4200-C,3474.88,buy,1.0,1.0,,,,,,1752789226.948
30,ETH-258299691,1752789427194,1,0.0041,0.003853,88.32,ETH-25JUL25-4200-C,3477.01,buy,1.0,1.0,,,,,,1752789427.194
