trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,unix_sec
315,ETH-256208432,1751356570192,2,0.0003,0.000219,86.24,ETH-25JUL25-4500-C,2465.92,buy,5.0,5.0,,,,,,,1751356570.192
316,ETH-256208435,1751356592442,3,0.0003,0.000219,86.24,ETH-25JUL25-4500-C,2465.94,buy,5.0,5.0,,,,,,,1751356592.442
317,ETH-256208436,1751356603190,3,0.0003,0.000218,86.24,ETH-25JUL25-4500-C,2465.92,buy,5.0,5.0,,,,,,,1751356603.19
318,ETH-256208535,1751356737607,3,0.0003,0.000216,86.25,ETH-25JUL25-4500-C,2465.83,buy,25.0,25.0,,,,,,,1751356737.607
319,ETH-256208559,1751356773434,3,0.0003,0.000215,86.24,ETH-25JUL25-4500-C,2465.95,buy,25.0,25.0,,,,,,,1751356773.434
320,ETH-256208576,1751356785104,3,0.0003,0.000215,86.23,ETH-25JUL25-4500-C,2466.09,buy,25.0,25.0,,,,,,,1751356785.104
321,ETH-256288979,1751432185667,2,0.0002,0.000218,85.69,ETH-25JUL25-4500-C,2439.6,buy,135.0,135.0,,,,,,,1751432185.667
322,ETH-256289087,1751432386902,0,0.0003,0.000215,89.19,ETH-25JUL25-4500-C,2439.46,buy,101.0,101.0,,,,,,,1751432386.902
323,ETH-256289093,1751432401860,1,0.0003,0.000215,89.15,ETH-25JUL25-4500-C,2440.11,buy,101.0,101.0,,,,,,,1751432401.86
324,ETH-256289120,1751432415412,1,0.0003,0.000214,89.18,ETH-25JUL25-4500-C,2439.43,buy,102.0,102.0,,,,,,,1751432415.412
325,ETH-256289128,1751432426008,1,0.0003,0.000214,89.19,ETH-25JUL25-4500-C,2439.3,buy,102.0,102.0,,,,,,,1751432426.008
326,ETH-256289138,1751432439963,1,0.0003,0.000213,89.22,ETH-25JUL25-4500-C,2438.93,buy,103.0,103.0,,,,,,,1751432439.963
327,ETH-256289150,1751432450306,1,0.0003,0.000213,89.22,ETH-25JUL25-4500-C,2438.83,buy,103.0,103.0,,,,,,,1751432450.306
328,ETH-256304656,1751452175331,1,0.0003,0.000203,89.19,ETH-25JUL25-4500-C,2448.83,buy,5.0,5.0,,,,,,,1751452175.331
329,ETH-256320907,1751467973533,2,0.0002,0.00021,85.0,ETH-25JUL25-4500-C,2469.52,sell,5.0,5.0,,,,,,,1751467973.533
330,ETH-256369461,1751482302771,0,0.0003,0.000311,82.96,ETH-25JUL25-4500-C,2581.31,buy,115.0,115.0,,,,,,,1751482302.771
331,ETH-256385637,1751490127887,0,0.0004,0.000343,85.11,ETH-25JUL25-4500-C,2592.32,buy,1.0,1.0,,,,,,,1751490127.887
333,ETH-256516044,1751589539304,1,0.0005,0.000336,89.47,ETH-25JUL25-4500-C,2593.15,buy,16.0,16.0,,,,,,,1751589539.304
332,ETH-256516043,1751589539304,0,0.0005,0.000336,89.47,ETH-25JUL25-4500-C,2593.15,buy,1.0,1.0,,,,,,,1751589539.304
334,ETH-256520038,1751594289931,1,0.0005,0.000343,89.7,ETH-25JUL25-4500-C,2591.07,buy,22.0,22.0,,,,,,,1751594289.931
335,ETH-256520053,1751594331232,1,0.0005,0.000343,89.68,ETH-25JUL25-4500-C,2591.36,buy,9.0,9.0,,,,,,,1751594331.232
336,ETH-256598809,1751669805736,2,0.0002,0.000194,86.92,ETH-25JUL25-4500-C,2521.09,buy,1.0,1.0,,,,,,,1751669805.736
337,ETH-256607635,1751688435018,0,0.0003,0.000222,91.26,ETH-25JUL25-4500-C,2514.95,buy,1.0,1.0,,,,,,,1751688435.018
338,ETH-256607636,1751688435020,1,0.0003,0.000222,91.26,ETH-25JUL25-4500-C,2514.95,sell,2.0,2.0,,,,,,,1751688435.02
339,ETH-256613932,1751702324162,1,0.0003,0.000241,91.34,ETH-25JUL25-4500-C,2520.98,buy,8.0,8.0,,,,,,,1751702324.162
340,ETH-256613952,1751702353819,1,0.0003,0.00024,91.35,ETH-25JUL25-4500-C,2520.71,buy,8.0,8.0,,,,,,,1751702353.819
341,ETH-256613990,1751702385794,1,0.0003,0.00024,91.3,ETH-25JUL25-4500-C,2521.62,buy,8.0,8.0,,,,,,,1751702385.794
342,ETH-256679813,1751835006031,2,0.0002,0.000216,90.01,ETH-25JUL25-4500-C,2546.47,sell,1.0,1.0,,,,,,,1751835006.031
344,ETH-256822393,1751995522747,1,0.0003,0.000182,94.81,ETH-25JUL25-4500-C,2613.8,buy,1.0,1.0,,,,,,,1751995522.747
345,ETH-256822394,1751995522747,1,0.0003,0.000182,94.81,ETH-25JUL25-4500-C,2613.8,buy,191.0,191.0,,,,,,,1751995522.747
343,ETH-256822392,1751995522747,0,0.0003,0.000182,94.81,ETH-25JUL25-4500-C,2613.8,buy,1.0,1.0,,,,,,,1751995522.747
346,ETH-256822395,1751995522747,1,0.0003,0.000182,94.81,ETH-25JUL25-4500-C,2613.8,buy,55.0,55.0,,,,,,,1751995522.747
