trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,liquidation,unix_sec
245,ETH-252297299,1748682902702,0,0.0013,0.001328,109.89,ETH-25JUL25-1000-P,2526.55,buy,1.0,1.0,,1748682902.702
246,ETH-252297319,1748682923418,1,0.0013,0.00133,109.87,ETH-25JUL25-1000-P,2526.31,buy,1.0,1.0,,1748682923.418
247,ETH-252297331,1748682931839,1,0.0013,0.001331,109.86,ETH-25JUL25-1000-P,2525.95,buy,1.0,1.0,,1748682931.839
248,ETH-252297332,1748682935777,1,0.0013,0.00133,109.86,ETH-25JUL25-1000-P,2526.01,buy,1.0,1.0,,1748682935.777
249,ETH-252338933,1748709230140,2,0.0012,0.001233,109.89,ETH-25JUL25-1000-P,2547.95,buy,1.0,1.0,,1748709230.14
250,ETH-252338936,1748709242643,3,0.0012,0.001233,109.91,ETH-25JUL25-1000-P,2548.2,buy,1.0,1.0,,1748709242.643
251,ETH-252338937,1748709245384,3,0.0012,0.001232,109.9,ETH-25JUL25-1000-P,2548.14,buy,1.0,1.0,,1748709245.384
252,ETH-252338938,1748709247912,3,0.0012,0.001232,109.91,ETH-25JUL25-1000-P,2548.23,buy,1.0,1.0,,1748709247.912
253,ETH-252338959,1748709250599,3,0.0012,0.001232,109.88,ETH-25JUL25-1000-P,2547.66,buy,1.0,1.0,,1748709250.599
254,ETH-252338960,1748709253128,3,0.0012,0.001235,109.87,ETH-25JUL25-1000-P,2547.44,buy,1.0,1.0,,1748709253.128
255,ETH-252338962,1748709255748,3,0.0012,0.001234,109.88,ETH-25JUL25-1000-P,2547.5,buy,1.0,1.0,,1748709255.748
256,ETH-252338963,1748709258289,3,0.0012,0.001234,109.88,ETH-25JUL25-1000-P,2547.5,buy,1.0,1.0,,1748709258.289
257,ETH-252340737,1748711372248,0,0.0013,0.001233,110.69,ETH-25JUL25-1000-P,2538.1,buy,1.0,1.0,,1748711372.248
258,ETH-252360695,1748733502526,0,0.0014,0.001251,112.32,ETH-25JUL25-1000-P,2542.79,buy,1.0,1.0,,1748733502.526
259,ETH-252361784,1748735199068,0,0.0016,0.001446,113.95,ETH-25JUL25-1000-P,2530.04,buy,1.0,1.0,,1748735199.068
260,ETH-252499509,1748852487614,2,0.0013,0.001373,110.88,ETH-25JUL25-1000-P,2505.45,buy,1.0,1.0,,1748852487.614
