trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,unix_sec
82,ETH-252391878,1748771030594,2,0.297,0.297419,74.1,ETH-25JUL25-1800-C,2487.49,buy,1.0,1.0,1748771030.594
83,ETH-253044787,1749184932260,2,0.2855,0.285347,74.44,ETH-25JUL25-1800-C,2454.58,sell,1.0,1.0,1749184932.26
84,ETH-253632733,1749645261695,0,0.3705,0.369444,87.02,ETH-25JUL25-1800-C,2808.06,buy,96.0,96.0,1749645261.695
85,ETH-253632735,1749645261707,1,0.3705,0.369444,87.02,ETH-25JUL25-1800-C,2808.06,buy,30.0,30.0,1749645261.707
86,ETH-254086327,1749788763072,2,0.298,0.298255,80.66,ETH-25JUL25-1800-C,2507.19,buy,4.0,4.0,1749788763.072
87,ETH-255107168,1750549761529,2,0.2255,0.224406,81.3,ETH-25JUL25-1800-C,2255.36,buy,1.0,1.0,1750549761.529
88,ETH-256275203,1751419059737,0,0.251,0.252405,68.74,ETH-25JUL25-1800-C,2389.83,sell,1.0,1.0,1751419059.737
89,ETH-256382178,1751488106170,0,0.3105,0.310017,87.45,ETH-25JUL25-1800-C,2593.78,buy,1.0,1.0,1751488106.17
90,ETH-256891528,1752069431216,0,0.3245,0.32455,89.38,ETH-25JUL25-1800-C,2655.35,sell,1.0,1.0,1752069431.216
91,ETH-257053639,1752166729886,0,0.3615,0.361444,104.49,ETH-25JUL25-1800-C,2808.7,buy,9.0,9.0,1752166729.886
92,ETH-257053780,1752166791914,1,0.3615,0.361346,104.66,ETH-25JUL25-1800-C,2808.87,buy,9.0,9.0,1752166791.914
93,ETH-257226542,1752220167644,0,0.4005,0.40096,106.54,ETH-25JUL25-1800-C,2993.82,buy,9.0,9.0,1752220167.644
94,ETH-257313158,1752254397548,1,0.4005,0.399508,131.17,ETH-25JUL25-1800-C,2986.92,buy,41.0,41.0,1752254397.548
95,ETH-257509672,1752453549542,2,0.398,0.397751,131.01,ETH-25JUL25-1800-C,2979.92,sell,1.0,1.0,1752453549.542
96,ETH-257522279,1752463183422,0,0.403,0.402914,128.24,ETH-25JUL25-1800-C,3005.24,sell,1.0,1.0,1752463183.422
97,ETH-257654695,1752541616602,2,0.399,0.398953,129.63,ETH-25JUL25-1800-C,2988.93,sell,1.0,1.0,1752541616.602
98,ETH-257888124,1752674236054,0,0.438,0.43805,139.89,ETH-25JUL25-1800-C,3195.16,buy,1.0,1.0,1752674236.054
99,ETH-258141544,1752739702646,0,0.4775,0.477791,116.46,ETH-25JUL25-1800-C,3443.62,sell,3.0,3.0,1752739702.646
100,ETH-258355588,1752805006142,0,0.501,0.500982,185.53,ETH-25JUL25-1800-C,3600.6,sell,9.0,9.0,1752805006.142
101,ETH-258926305,1753090528535,0,0.5235,0.523504,0.0,ETH-25JUL25-1800-C,3774.08,buy,4.0,4.0,1753090528.535
102,ETH-259179302,1753210662545,2,0.516,0.516917,0.0,ETH-25JUL25-1800-C,3722.2,sell,28.0,28.0,1753210662.545
103,ETH-259261120,1753276374958,2,0.5055,0.504867,425.04,ETH-25JUL25-1800-C,3633.54,buy,8.0,8.0,1753276374.958
104,ETH-259302160,1753289202049,2,0.497,0.498104,0.0,ETH-25JUL25-1800-C,3584.63,sell,21.0,21.0,1753289202.049
