trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,block_rfq_id,combo_trade_id,unix_sec
182,ETH-252265212,1748655575187,0,0.014,0.014886,73.24,ETH-25JUL25-1800-P,2496.34,sell,18.0,18.0,,,,,,1748655575.187
183,ETH-252265213,1748655575193,1,0.014,0.014886,73.24,ETH-25JUL25-1800-P,2496.34,sell,3.0,3.0,,,,,,1748655575.193
184,ETH-252495229,1748849607055,1,0.014,0.013668,75.33,ETH-25JUL25-1800-P,2506.43,buy,1.0,1.0,,,,,,1748849607.055
185,ETH-252500892,1748853337938,2,0.0135,0.013569,74.8,ETH-25JUL25-1800-P,2510.57,sell,21.0,21.0,,,,,,1748853337.938
186,ETH-252500893,1748853337940,3,0.0135,0.013569,74.8,ETH-25JUL25-1800-P,2510.57,buy,79.0,79.0,,,,,,1748853337.94
187,ETH-252502263,1748854316394,0,0.014,0.014034,74.54,ETH-25JUL25-1800-P,2494.83,buy,50.0,50.0,,,,,,1748854316.394
188,ETH-252617718,1748914131552,2,0.01,0.010182,76.56,ETH-25JUL25-1800-P,2629.73,sell,30.0,30.0,,,,,,1748914131.552
189,ETH-252617719,1748914131554,3,0.01,0.010182,76.56,ETH-25JUL25-1800-P,2629.73,buy,70.0,70.0,,,,,,1748914131.554
190,ETH-252636466,1748936078908,0,0.011,0.01046,77.94,ETH-25JUL25-1800-P,2616.95,buy,4.0,4.0,,,,,,1748936078.908
191,ETH-252653259,1748953426151,2,0.01,0.010272,75.33,ETH-25JUL25-1800-P,2604.18,sell,5.0,5.0,,,,,,1748953426.151
192,ETH-252719801,1749003761819,2,0.0095,0.009784,75.55,ETH-25JUL25-1800-P,2618.97,sell,1.0,1.0,,,,,,1749003761.819
193,ETH-252724785,1749009465316,3,0.0095,0.009493,76.22,ETH-25JUL25-1800-P,2629.43,buy,50.0,50.0,,,,,,1749009465.316
194,ETH-252724975,1749009757478,3,0.0095,0.009475,76.2,ETH-25JUL25-1800-P,2628.99,buy,50.0,50.0,,,,,,1749009757.478
195,ETH-252746676,1749037565679,2,0.0085,0.009075,74.45,ETH-25JUL25-1800-P,2630.56,sell,3.0,3.0,,,,,,1749037565.679
196,ETH-252777114,1749051669482,3,0.0085,0.008167,76.73,ETH-25JUL25-1800-P,2669.27,sell,50.0,50.0,,,,,,1749051669.482
197,ETH-252835115,1749112468033,3,0.0085,0.00896,73.86,ETH-25JUL25-1800-P,2609.55,sell,5.0,5.0,,,,,,1749112468.033
198,ETH-252991381,1749158966151,0,0.0155,0.015075,73.95,ETH-25JUL25-1800-P,2421.03,buy,61.0,61.0,,,,,,1749158966.151
199,ETH-253044308,1749184187734,2,0.014,0.014106,74.05,ETH-25JUL25-1800-P,2452.17,buy,50.0,50.0,,,,,,1749184187.734
200,ETH-253044891,1749185114589,3,0.014,0.013995,74.22,ETH-25JUL25-1800-P,2454.51,buy,50.0,50.0,,,,,,1749185114.589
201,ETH-253058878,1749194681066,2,0.0136,0.0134,74.34,ETH-25JUL25-1800-P,2463.75,buy,500.0,500.0,4.0,BLOCK-203618,ETH-ICOND-25JUL25-1800_2300_3000_4000,,,1749194681.066
202,ETH-253072259,1749200869237,2,0.0125,0.013021,72.59,ETH-25JUL25-1800-P,2463.62,sell,20.0,20.0,,,,,,1749200869.237
203,ETH-253074888,1749202052461,3,0.0125,0.012482,73.55,ETH-25JUL25-1800-P,2476.52,buy,11.0,11.0,,,,,,1749202052.461
204,ETH-253136344,1749261588591,2,0.012,0.012074,72.86,ETH-25JUL25-1800-P,2473.24,buy,1.0,1.0,,,,,,1749261588.591
205,ETH-253142520,1749275406093,2,0.0115,0.011437,73.74,ETH-25JUL25-1800-P,2496.53,buy,1.0,1.0,,,,,,1749275406.093
206,ETH-253158627,1749300085395,2,0.011,0.011033,73.63,ETH-25JUL25-1800-P,2506.03,sell,1.0,1.0,,,,,,1749300085.395
207,ETH-253158628,1749300085395,3,0.011,0.011033,73.63,ETH-25JUL25-1800-P,2506.03,sell,3.0,3.0,,,,,,1749300085.395
208,ETH-253158631,1749300086099,3,0.011,0.011002,73.68,ETH-25JUL25-1800-P,2506.63,sell,1.0,1.0,,,,,,1749300086.099
209,ETH-253162286,1749303973314,3,0.011,0.011001,74.06,ETH-25JUL25-1800-P,2511.54,sell,2.0,2.0,,,,,,1749303973.314
210,ETH-253162288,1749303976267,3,0.011,0.010965,74.15,ETH-25JUL25-1800-P,2512.81,sell,1.0,1.0,,,,,,1749303976.267
211,ETH-253162308,1749303977617,3,0.011,0.010971,74.15,ETH-25JUL25-1800-P,2512.86,sell,5.0,5.0,,,,,,1749303977.617
212,ETH-253162309,1749303978030,3,0.011,0.010975,74.16,ETH-25JUL25-1800-P,2512.98,sell,1.0,1.0,,,,,,1749303978.03
213,ETH-253162311,1749303978061,3,0.011,0.010975,74.16,ETH-25JUL25-1800-P,2512.98,sell,1.0,1.0,,,,,,1749303978.061
214,ETH-253162312,1749303978263,3,0.011,0.010975,74.16,ETH-25JUL25-1800-P,2512.98,sell,7.0,7.0,,,,,,1749303978.263
215,ETH-253162313,1749303978530,3,0.011,0.010975,74.16,ETH-25JUL25-1800-P,2512.98,sell,1.0,1.0,,,,,,1749303978.53
