trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,unix_sec
337,ETH-252368381,1748742822191,2,0.177,0.176865,68.46,ETH-25JUL25-2200-C,2509.42,sell,1.0,1.0,,,,,1748742822.191
338,ETH-252962580,1749155773146,2,0.1575,0.156374,66.59,ETH-25JUL25-2200-C,2455.13,buy,5.0,5.0,,,,,1749155773.146
339,ETH-253437277,1749555494023,0,0.2335,0.233209,71.57,ETH-25JUL25-2200-C,2777.07,buy,10.0,10.0,,,,,1749555494.023
340,ETH-253659670,1749651977595,0,0.25,0.249058,75.64,ETH-25JUL25-2200-C,2840.54,buy,1.0,1.0,,,,,1749651977.595
341,ETH-253672556,1749654786764,2,0.248,0.248047,74.56,ETH-25JUL25-2200-C,2834.89,buy,10.0,10.0,,,,,1749654786.764
342,ETH-253672937,1749654916318,3,0.248,0.247846,74.69,ETH-25JUL25-2200-C,2834.56,buy,4.0,4.0,,,,,1749654916.318
343,ETH-253673097,1749654986212,0,0.2485,0.248401,74.58,ETH-25JUL25-2200-C,2837.01,buy,10.0,10.0,,,,,1749654986.212
344,ETH-253673098,1749654986212,1,0.2485,0.248401,74.58,ETH-25JUL25-2200-C,2837.01,buy,10.0,10.0,,,,,1749654986.212
345,ETH-253724193,1749668836283,2,0.2415,0.241837,73.9,ETH-25JUL25-2200-C,2809.53,buy,100.0,100.0,,,,,1749668836.283
346,ETH-253781369,1749704786634,2,0.228,0.227957,71.99,ETH-25JUL25-2200-C,2758.56,sell,1.0,1.0,,,,,1749704786.634
347,ETH-254046154,1749780243654,2,0.1655,0.165607,72.35,ETH-25JUL25-2200-C,2492.93,sell,1.0,1.0,,,,,1749780243.654
348,ETH-254052954,1749781483966,2,0.161,0.161224,71.91,ETH-25JUL25-2200-C,2476.0,sell,1.0,1.0,,,,,1749781483.966
349,ETH-254086340,1749788783294,0,0.168,0.168092,71.51,ETH-25JUL25-2200-C,2507.95,buy,1.0,1.0,,,,,1749788783.294
350,ETH-254452193,1750084424947,0,0.2,0.199672,74.38,ETH-25JUL25-2200-C,2645.96,buy,1.0,1.0,,,,,1750084424.947
351,ETH-254610720,1750171268352,2,0.1755,0.175822,72.53,ETH-25JUL25-2200-C,2552.62,sell,2.0,2.0,,,,,1750171268.352
352,ETH-254625019,1750174222626,2,0.16,0.160824,71.73,ETH-25JUL25-2200-C,2492.03,sell,2.0,2.0,,,,,1750174222.626
353,ETH-254854346,1750355721911,0,0.163,0.163253,71.11,ETH-25JUL25-2200-C,2516.83,sell,1.0,1.0,,,,,1750355721.911
354,ETH-254942351,1750439977801,2,0.15,0.15012,69.65,ETH-25JUL25-2200-C,2473.58,sell,2.0,2.0,,,,,1750439977.801
355,ETH-254944439,1750440051785,2,0.14,0.142322,67.7,ETH-25JUL25-2200-C,2441.78,sell,2.0,2.0,,,,,1750440051.785
356,ETH-254955346,1750441058052,2,0.1265,0.126841,70.63,ETH-25JUL25-2200-C,2371.95,sell,1.0,1.0,,,,,1750441058.052
357,ETH-255051987,1750541099855,2,0.1075,0.110936,68.72,ETH-25JUL25-2200-C,2307.64,sell,1.0,1.0,,,,,1750541099.855
358,ETH-255061177,1750541505642,2,0.1,0.104166,69.94,ETH-25JUL25-2200-C,2267.8,sell,1.0,1.0,,,,,1750541505.642
359,ETH-255074631,1750541894971,0,0.109,0.107269,75.18,ETH-25JUL25-2200-C,2278.97,buy,4.0,4.0,,,,,1750541894.971
360,ETH-255089944,1750545620997,1,0.109,0.109295,73.75,ETH-25JUL25-2200-C,2286.05,buy,10.0,10.0,,,,,1750545620.997
361,ETH-255097068,1750548656086,2,0.1,0.100132,72.45,ETH-25JUL25-2200-C,2252.83,sell,100.0,100.0,,,,,1750548656.086
362,ETH-255097101,1750548658122,3,0.1,0.099783,72.89,ETH-25JUL25-2200-C,2250.6,sell,50.0,50.0,,,,,1750548658.122
363,ETH-255205117,1750598494227,2,0.0915,0.092531,69.61,ETH-25JUL25-2200-C,2233.94,sell,1.0,1.0,,,,,1750598494.227
364,ETH-255205124,1750598494262,3,0.0915,0.092603,69.58,ETH-25JUL25-2200-C,2234.12,sell,1.0,1.0,,,,,1750598494.262
365,ETH-255205129,1750598494295,3,0.0915,0.092603,69.58,ETH-25JUL25-2200-C,2234.12,sell,3.0,3.0,,,,,1750598494.295
366,ETH-255205131,1750598494310,3,0.0915,0.092603,69.58,ETH-25JUL25-2200-C,2234.12,sell,7.0,7.0,,,,,1750598494.31
367,ETH-255205142,1750598494366,3,0.0915,0.092603,69.58,ETH-25JUL25-2200-C,2234.12,sell,6.0,6.0,,,,,1750598494.366
368,ETH-255205151,1750598494460,3,0.0915,0.092603,69.58,ETH-25JUL25-2200-C,2234.12,sell,4.0,4.0,,,,,1750598494.46
369,ETH-255205157,1750598494519,3,0.0915,0.092603,69.58,ETH-25JUL25-2200-C,2234.12,sell,2.0,2.0,,,,,1750598494.519
370,ETH-255207384,1750598734392,2,0.09,0.090249,70.75,ETH-25JUL25-2200-C,2219.85,sell,1.0,1.0,,,,,1750598734.392
371,ETH-255210990,1750598887428,2,0.083,0.084955,70.09,ETH-25JUL25-2200-C,2190.92,sell,117.0,117.0,,,,,1750598887.428
372,ETH-255216765,1750599266380,0,0.0875,0.087474,72.06,ETH-25JUL25-2200-C,2200.5,sell,100.0,100.0,,,,,1750599266.38
373,ETH-255216770,1750599266478,0,0.088,0.087474,72.48,ETH-25JUL25-2200-C,2200.5,sell,101.0,101.0,,,,,1750599266.478
374,ETH-255221169,1750599820286,2,0.086,0.085805,72.7,ETH-25JUL25-2200-C,2189.96,buy,1.0,1.0,,,,,1750599820.286
375,ETH-255237734,1750602962754,2,0.0845,0.084494,72.76,ETH-25JUL25-2200-C,2182.47,buy,71.0,71.0,,,,,1750602962.754
376,ETH-255237735,1750602962763,3,0.0845,0.084494,72.76,ETH-25JUL25-2200-C,2182.47,buy,4.0,4.0,,,,,1750602962.763
377,ETH-255248629,1750606135783,0,0.086,0.085949,73.57,ETH-25JUL25-2200-C,2185.86,sell,100.0,100.0,,,,,1750606135.783
378,ETH-255266203,1750614168778,0,0.0865,0.085668,72.74,ETH-25JUL25-2200-C,2193.75,buy,1.0,1.0,,,,,1750614168.778
379,ETH-255272671,1750619350547,2,0.0835,0.08303,71.46,ETH-25JUL25-2200-C,2187.19,buy,3.0,3.0,,,,,1750619350.547
380,ETH-255276854,1750622929148,2,0.082,0.081726,71.44,ETH-25JUL25-2200-C,2179.98,buy,1.0,1.0,,,,,1750622929.148
381,ETH-255291459,1750624447639,2,0.0745,0.075053,71.71,ETH-25JUL25-2200-C,2141.38,buy,1.0,1.0,,,,,1750624447.639
382,ETH-255291687,1750624520963,0,0.0755,0.076245,71.41,ETH-25JUL25-2200-C,2147.72,buy,1.0,1.0,,,,,1750624520.963
384,ETH-255328212,1750644766808,1,0.0935,0.093388,70.26,ETH-25JUL25-2200-C,2242.02,buy,8.0,8.0,,,,,1750644766.808
383,ETH-255328211,1750644766808,0,0.0935,0.093388,70.26,ETH-25JUL25-2200-C,2242.02,buy,6.0,6.0,,,,,1750644766.808
385,ETH-255328225,1750644782693,1,0.0935,0.093448,70.22,ETH-25JUL25-2200-C,2242.2,sell,11.0,11.0,,,,,1750644782.693
386,ETH-255328614,1750645510506,2,0.0925,0.092789,69.97,ETH-25JUL25-2200-C,2238.81,sell,25.0,25.0,,,,,1750645510.506
387,ETH-255343717,1750662303680,0,0.0975,0.096505,70.79,ETH-25JUL25-2200-C,2258.52,buy,12.0,12.0,,,,,1750662303.68
388,ETH-255349055,1750664669314,2,0.096,0.095987,69.53,ETH-25JUL25-2200-C,2258.83,buy,3.0,3.0,,,,,1750664669.314
389,ETH-255349056,1750664669314,3,0.096,0.095987,69.53,ETH-25JUL25-2200-C,2258.83,buy,6.0,6.0,,,,,1750664669.314
390,ETH-255377610,1750686114506,0,0.1,0.098946,70.55,ETH-25JUL25-2200-C,2273.12,buy,6.0,6.0,,,,,1750686114.506
391,ETH-255377612,1750686114532,1,0.1,0.098946,70.55,ETH-25JUL25-2200-C,2273.12,buy,9.0,9.0,,,,,1750686114.532
392,ETH-255378400,1750686196631,1,0.1,0.100286,69.72,ETH-25JUL25-2200-C,2277.3,sell,5.0,5.0,,,,,1750686196.631
393,ETH-255379989,1750686296258,0,0.1045,0.103412,70.97,ETH-25JUL25-2200-C,2291.03,buy,1.0,1.0,,,,,1750686296.258
394,ETH-255383781,1750686730523,2,0.1035,0.102041,71.3,ETH-25JUL25-2200-C,2285.81,buy,1.0,1.0,,,,,1750686730.523
395,ETH-255388755,1750687386707,0,0.1075,0.106851,70.77,ETH-25JUL25-2200-C,2305.7,buy,1.0,1.0,,,,,1750687386.707
396,ETH-255391358,1750687803897,2,0.107,0.106001,71.22,ETH-25JUL25-2200-C,2301.98,buy,1.0,1.0,,,,,1750687803.897
397,ETH-255392926,1750688050215,2,0.1065,0.105681,70.9,ETH-25JUL25-2200-C,2301.18,buy,1.0,1.0,,,,,1750688050.215
398,ETH-255413419,1750693634277,2,0.0975,0.096219,71.17,ETH-25JUL25-2200-C,2260.26,buy,1.0,1.0,,,,,1750693634.277
399,ETH-255418712,1750695155448,2,0.09,0.090944,69.52,ETH-25JUL25-2200-C,2234.33,sell,1.0,1.0,,,,,1750695155.448
400,ETH-255419154,1750695243736,3,0.09,0.090073,70.25,ETH-25JUL25-2200-C,2230.43,buy,50.0,50.0,,,,,1750695243.736
401,ETH-255421733,1750695731369,2,0.0875,0.088335,69.96,ETH-25JUL25-2200-C,2220.34,sell,1.0,1.0,,,,,1750695731.369
402,ETH-255426604,1750696262201,3,0.0875,0.086559,71.37,ETH-25JUL25-2200-C,2212.53,buy,1.0,1.0,,,,,1750696262.201
403,ETH-255445007,1750699176926,0,0.095,0.094875,71.25,ETH-25JUL25-2200-C,2248.03,sell,500.0,500.0,4.0,BLOCK-206795,6879.0,ETH-STDC-29AUG25_25JUL25-2200,1750699176.926
404,ETH-255487451,1750711112495,0,0.117,0.117108,70.27,ETH-25JUL25-2200-C,2350.71,buy,1.0,1.0,,,,,1750711112.495
405,ETH-255507379,1750717510612,0,0.1355,0.136614,69.34,ETH-25JUL25-2200-C,2432.93,buy,1.0,1.0,,,,,1750717510.612
406,ETH-255522218,1750720124941,2,0.132,0.131921,70.0,ETH-25JUL25-2200-C,2416.29,buy,1.0,1.0,,,,,1750720124.941
407,ETH-255656435,1750784198481,0,0.1465,0.146418,69.98,ETH-25JUL25-2200-C,2479.45,sell,50.0,50.0,,,,,1750784198.481
408,ETH-255682981,1750800613574,2,0.1365,0.136665,69.2,ETH-25JUL25-2200-C,2442.24,buy,1.0,1.0,,,,,1750800613.574
409,ETH-255995692,1751053608416,2,0.122,0.121482,65.51,ETH-25JUL25-2200-C,2411.8,buy,1.0,1.0,,,,,1751053608.416
410,ETH-255999971,1751059868141,0,0.126,0.12574,65.34,ETH-25JUL25-2200-C,2429.52,buy,1.0,1.0,,,,,1751059868.141
411,ETH-256044583,1751186671228,0,0.128,0.127408,64.43,ETH-25JUL25-2200-C,2445.29,buy,1.0,1.0,,,,,1751186671.228
412,ETH-256045408,1751187840152,2,0.127,0.126651,64.06,ETH-25JUL25-2200-C,2442.88,sell,1.0,1.0,,,,,1751187840.152
413,ETH-256045518,1751187935435,2,0.1265,0.126735,63.39,ETH-25JUL25-2200-C,2442.91,sell,1.0,1.0,,,,,1751187935.435
414,ETH-256047327,1751189626960,0,0.1305,0.128928,64.66,ETH-25JUL25-2200-C,2454.06,buy,1.0,1.0,,,,,1751189626.96
415,ETH-256069308,1751230416623,2,0.1255,0.124467,65.04,ETH-25JUL25-2200-C,2434.98,buy,1.0,1.0,,,,,1751230416.623
416,ETH-256275462,1751419060588,2,0.1045,0.108002,57.24,ETH-25JUL25-2200-C,2389.01,sell,2.0,2.0,,,,,1751419060.588
417,ETH-256286926,1751428213373,0,0.1195,0.118539,62.25,ETH-25JUL25-2200-C,2430.18,sell,10.0,10.0,,,,,1751428213.373
418,ETH-256312073,1751461440482,0,0.122,0.121455,61.01,ETH-25JUL25-2200-C,2444.31,buy,1.0,1.0,,,,,1751461440.482
419,ETH-256312074,1751461440482,0,0.1225,0.121455,61.69,ETH-25JUL25-2200-C,2444.31,buy,18.0,18.0,,,,,1751461440.482
420,ETH-256322143,1751468879436,0,0.1305,0.129569,62.27,ETH-25JUL25-2200-C,2473.56,buy,1.0,1.0,,,,,1751468879.436
421,ETH-256348622,1751475119085,0,0.1555,0.155313,64.61,ETH-25JUL25-2200-C,2559.19,buy,1.0,1.0,,,,,1751475119.085
422,ETH-256362380,1751478188015,0,0.1585,0.158227,66.52,ETH-25JUL25-2200-C,2566.71,buy,1.0,1.0,,,,,1751478188.015
423,ETH-256363492,1751478606152,2,0.1555,0.155267,66.09,ETH-25JUL25-2200-C,2556.62,buy,1.0,1.0,,,,,1751478606.152
424,ETH-256364133,1751478783410,0,0.1575,0.156794,67.16,ETH-25JUL25-2200-C,2561.33,buy,1.0,1.0,,,,,1751478783.41
425,ETH-256364299,1751478836672,0,0.158,0.157851,66.23,ETH-25JUL25-2200-C,2565.03,buy,1.0,1.0,,,,,1751478836.672
426,ETH-256364786,1751479107385,1,0.158,0.157871,66.09,ETH-25JUL25-2200-C,2565.27,buy,1.0,1.0,,,,,1751479107.385
427,ETH-256366027,1751479367088,0,0.1595,0.15905,66.81,ETH-25JUL25-2200-C,2569.43,buy,1.0,1.0,,,,,1751479367.088
428,ETH-256415199,1751520868061,0,0.167,0.166636,68.7,ETH-25JUL25-2200-C,2594.95,buy,1.0,1.0,,,,,1751520868.061
429,ETH-256564560,1751637186633,2,0.1465,0.146489,63.79,ETH-25JUL25-2200-C,2533.93,buy,1.0,1.0,,,,,1751637186.633
430,ETH-256751243,1751905411215,2,0.1405,0.143189,60.78,ETH-25JUL25-2200-C,2528.32,sell,100.0,100.0,,,,,1751905411.215
431,ETH-256830943,1752001097332,0,0.1695,0.169418,66.54,ETH-25JUL25-2200-C,2624.36,sell,5.0,5.0,,,,,1752001097.332
432,ETH-256937330,1752090739935,0,0.2155,0.214521,74.97,ETH-25JUL25-2200-C,2784.2,buy,1.0,1.0,,,,,1752090739.935
433,ETH-256948721,1752092570566,2,0.206,0.206176,71.84,ETH-25JUL25-2200-C,2751.2,buy,2.0,2.0,,,,,1752092570.566
434,ETH-256982734,1752115203150,0,0.213,0.214287,68.62,ETH-25JUL25-2200-C,2780.21,buy,67.0,67.0,,,,,1752115203.15
435,ETH-257065957,1752171410657,0,0.2275,0.227477,80.47,ETH-25JUL25-2200-C,2828.6,buy,100.0,100.0,,,,,1752171410.657
436,ETH-257145466,1752187823811,0,0.263,0.26301,88.3,ETH-25JUL25-2200-C,2970.44,sell,12.0,12.0,,,,,1752187823.811
437,ETH-257209947,1752214864204,0,0.275,0.274909,92.7,ETH-25JUL25-2200-C,3017.54,sell,10.0,10.0,,,,,1752214864.204
438,ETH-257226873,1752220236011,2,0.269,0.269132,91.45,ETH-25JUL25-2200-C,2991.98,buy,9.0,9.0,,,,,1752220236.011
439,ETH-257748458,1752594916078,0,0.2795,0.280263,80.41,ETH-25JUL25-2200-C,3044.91,buy,1.0,1.0,,,,,1752594916.078
440,ETH-257762571,1752601691118,0,0.2915,0.291116,104.87,ETH-25JUL25-2200-C,3092.21,buy,1.0,1.0,,,,,1752601691.118
441,ETH-257885555,1752673692922,0,0.3135,0.313002,113.08,ETH-25JUL25-2200-C,3193.92,buy,1.0,1.0,,,,,1752673692.922
442,ETH-258355831,1752805135865,0,0.391,0.391014,146.36,ETH-25JUL25-2200-C,3604.77,sell,9.0,9.0,,,,,1752805135.865
443,ETH-258382503,1752815470860,0,0.395,0.394925,134.97,ETH-25JUL25-2200-C,3630.71,buy,1.0,1.0,,,,,1752815470.86
444,ETH-258429593,1752825167081,2,0.3935,0.39393,0.0,ETH-25JUL25-2200-C,3623.03,sell,1.0,1.0,,,,,1752825167.081
445,ETH-258644333,1752911201079,2,0.3855,0.385517,145.23,ETH-25JUL25-2200-C,3575.73,sell,1.0,1.0,,,,,1752911201.079
446,ETH-258667217,1752935633103,2,0.3805,0.380165,161.59,ETH-25JUL25-2200-C,3545.97,sell,1.0,1.0,,,,,1752935633.103
447,ETH-258721058,1752985331933,0,0.3975,0.398812,0.0,ETH-25JUL25-2200-C,3654.93,sell,1.0,1.0,,,,,1752985331.933
448,ETH-258990964,1753115629902,0,0.419,0.418511,228.81,ETH-25JUL25-2200-C,3779.62,sell,1.0,1.0,,,,,1753115629.902
449,ETH-258995756,1753116828515,2,0.418,0.417765,208.13,ETH-25JUL25-2200-C,3775.18,sell,1.0,1.0,,,,,1753116828.515
450,ETH-259512557,1753386519370,2,0.411,0.411475,0.0,ETH-25JUL25-2200-C,3738.2,sell,1.0,1.0,,,,,1753386519.37
451,ETH-259513036,1753386785931,0,0.412,0.412828,0.0,ETH-25JUL25-2200-C,3747.34,sell,11.0,11.0,,,,,1753386785.931
452,ETH-259513037,1753386785931,1,0.412,0.412828,0.0,ETH-25JUL25-2200-C,3747.34,sell,36.0,36.0,,,,,1753386785.931
453,ETH-259519085,1753391421690,2,0.411,0.411653,0.0,ETH-25JUL25-2200-C,3739.68,sell,12.0,12.0,,,,,1753391421.69
454,ETH-259536659,1753399542899,2,0.4065,0.407051,0.0,ETH-25JUL25-2200-C,3710.26,sell,9.0,9.0,,,,,1753399542.899
