trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_id,combo_trade_id,liquidation,unix_sec
200,ETH-252283481,1748668410416,0,0.044,0.04449,67.39,ETH-25JUL25-2200-P,2520.02,sell,9.0,9.0,,,,,,,1748668410.416
201,ETH-252283482,1748668410416,1,0.044,0.04449,67.39,ETH-25JUL25-2200-P,2520.02,sell,139.0,139.0,,,,,,,1748668410.416
202,ETH-252283483,1748668410419,1,0.044,0.04449,67.39,ETH-25JUL25-2200-P,2520.02,buy,224.0,224.0,,,,,,,1748668410.419
203,ETH-252283484,1748668410424,1,0.044,0.04449,67.39,ETH-25JUL25-2200-P,2520.02,buy,1.0,1.0,,,,,,,1748668410.424
204,ETH-252283529,1748668432167,1,0.044,0.044285,67.36,ETH-25JUL25-2200-P,2519.74,buy,224.0,224.0,,,,,,,1748668432.167
205,ETH-252283530,1748668433381,1,0.044,0.044285,67.36,ETH-25JUL25-2200-P,2519.74,buy,3.0,3.0,,,,,,,1748668433.381
206,ETH-252296248,1748682013096,2,0.0435,0.043949,67.55,ETH-25JUL25-2200-P,2525.65,sell,1.0,1.0,,,,,,,1748682013.096
207,ETH-252296250,1748682016401,3,0.0435,0.043948,67.55,ETH-25JUL25-2200-P,2525.67,sell,1.0,1.0,,,,,,,1748682016.401
208,ETH-252383977,1748764831140,0,0.0465,0.04551,68.97,ETH-25JUL25-2200-P,2510.05,buy,4.0,4.0,,,,,,T,1748764831.14
209,ETH-252401330,1748781257678,0,0.05,0.050116,69.52,ETH-25JUL25-2200-P,2485.33,buy,10.0,10.0,,,,,,,1748781257.678
210,ETH-252415690,1748789455022,2,0.0475,0.047713,70.17,ETH-25JUL25-2200-P,2510.76,buy,2.0,2.0,,,,,,,1748789455.022
211,ETH-252521985,1748868312588,2,0.0445,0.044781,66.57,ETH-25JUL25-2200-P,2495.23,buy,1.0,1.0,,,,,,,1748868312.588
212,ETH-252623558,1748917437611,2,0.032,0.031531,68.53,ETH-25JUL25-2200-P,2636.43,buy,1.0,1.0,,,,,,,1748917437.611
213,ETH-252623559,1748917437611,3,0.032,0.031531,68.53,ETH-25JUL25-2200-P,2636.43,buy,9.0,9.0,,,,,,,1748917437.611
214,ETH-252649360,1748948078587,3,0.032,0.031997,66.82,ETH-25JUL25-2200-P,2613.84,buy,18.0,18.0,,,,,,,1748948078.587
215,ETH-252678908,1748965642680,2,0.031,0.030962,67.18,ETH-25JUL25-2200-P,2627.69,buy,1.0,1.0,,,,,,,1748965642.68
216,ETH-252720176,1749005173700,3,0.031,0.03137,66.45,ETH-25JUL25-2200-P,2616.44,sell,4.0,4.0,,,,,,,1749005173.7
217,ETH-252720286,1749005338500,0,0.0315,0.031411,66.91,ETH-25JUL25-2200-P,2616.35,buy,1.0,1.0,,,,,,,1749005338.5
218,ETH-252720287,1749005338502,1,0.0315,0.031411,66.91,ETH-25JUL25-2200-P,2616.35,sell,1.0,1.0,,,,,,,1749005338.502
219,ETH-252721147,1749006534732,2,0.031,0.030896,66.85,ETH-25JUL25-2200-P,2621.21,sell,1.0,1.0,,,,,,,1749006534.732
220,ETH-252755891,1749044205571,2,0.0295,0.029645,65.87,ETH-25JUL25-2200-P,2623.65,buy,3.0,3.0,,,,,,,1749044205.571
221,ETH-252784797,1749054645211,2,0.0275,0.028135,66.19,ETH-25JUL25-2200-P,2652.39,sell,1.0,1.0,,,,,,,1749054645.211
222,ETH-252822547,1749100937101,0,0.029,0.028942,66.05,ETH-25JUL25-2200-P,2626.35,buy,1.0,1.0,,,,,,,1749100937.101
223,ETH-252822548,1749100938682,1,0.029,0.028945,66.04,ETH-25JUL25-2200-P,2626.33,sell,24.0,24.0,,,,,,,1749100938.682
224,ETH-252833102,1749110438174,0,0.0295,0.030412,64.92,ETH-25JUL25-2200-P,2606.33,sell,2.0,2.0,,,,,,,1749110438.174
225,ETH-252833104,1749110439503,1,0.0295,0.030408,64.91,ETH-25JUL25-2200-P,2606.29,sell,2.0,2.0,,,,,,,1749110439.503
226,ETH-252835215,1749112504296,1,0.0295,0.029599,65.26,ETH-25JUL25-2200-P,2609.55,buy,2.0,2.0,,,,,,,1749112504.296
227,ETH-252840902,1749117786883,0,0.0305,0.030324,66.38,ETH-25JUL25-2200-P,2610.24,buy,1.0,1.0,,,,,,,1749117786.883
229,ETH-252866113,1749130735552,3,0.029,0.029684,66.02,ETH-25JUL25-2200-P,2622.72,sell,3.0,3.0,,,,,,,1749130735.552
228,ETH-252866112,1749130735552,2,0.029,0.029684,66.02,ETH-25JUL25-2200-P,2622.72,sell,97.0,97.0,,,,,,,1749130735.552
232,ETH-252866117,1749130740259,3,0.029,0.029641,66.01,ETH-25JUL25-2200-P,2622.55,sell,20.0,20.0,,,,,,,1749130740.259
230,ETH-252866115,1749130740259,3,0.029,0.029641,66.01,ETH-25JUL25-2200-P,2622.55,sell,53.0,53.0,,,,,,,1749130740.259
233,ETH-252866118,1749130740259,3,0.029,0.029641,66.01,ETH-25JUL25-2200-P,2622.55,sell,12.0,12.0,,,,,,,1749130740.259
231,ETH-252866116,1749130740259,3,0.029,0.029641,66.01,ETH-25JUL25-2200-P,2622.55,sell,15.0,15.0,,,,,,,1749130740.259
234,ETH-252866134,1749130755539,3,0.029,0.029665,65.98,ETH-25JUL25-2200-P,2622.26,sell,100.0,100.0,,,,,,,1749130755.539
235,ETH-252886234,1749134302185,0,0.0325,0.032458,66.0,ETH-25JUL25-2200-P,2582.77,buy,400.0,400.0,4.0,BLOCK-203308,5532.0,,,,1749134302.185
236,ETH-252887727,1749134656633,2,0.0315,0.031391,66.11,ETH-25JUL25-2200-P,2594.53,buy,400.0,400.0,4.0,BLOCK-203311,5536.0,,,,1749134656.633
237,ETH-252918844,1749150196918,0,0.0335,0.033262,66.4,ETH-25JUL25-2200-P,2576.67,buy,1.0,1.0,,,,,,,1749150196.918
238,ETH-252984940,1749157476198,0,0.052,0.052248,66.36,ETH-25JUL25-2200-P,2418.88,sell,1.0,1.0,,,,,,,1749157476.198
239,ETH-252995040,1749159723872,2,0.049,0.049883,65.93,ETH-25JUL25-2200-P,2437.12,sell,16.0,16.0,,,,,,,1749159723.872
240,ETH-253005839,1749162566387,0,0.052,0.051956,66.65,ETH-25JUL25-2200-P,2421.92,buy,1.0,1.0,,,,,,,1749162566.387
241,ETH-253019338,1749169322308,0,0.055,0.055044,66.91,ETH-25JUL25-2200-P,2403.14,buy,1.0,1.0,,,,,,,1749169322.308
242,ETH-253030323,1749175356926,2,0.052,0.051989,66.66,ETH-25JUL25-2200-P,2421.16,buy,7.0,7.0,,,,,,,1749175356.926
243,ETH-253044989,1749185176400,2,0.0475,0.047381,66.88,ETH-25JUL25-2200-P,2455.81,buy,1.0,1.0,,,,,,,1749185176.4
244,ETH-253054468,1749191074435,0,0.048,0.047776,67.0,ETH-25JUL25-2200-P,2452.95,buy,1.0,1.0,,,,,,,1749191074.435
245,ETH-253063719,1749196362893,2,0.0478,0.047401,66.94,ETH-25JUL25-2200-P,2454.13,buy,1000.0,1000.0,2.0,BLOCK-203638,,ETH-RR-25JUL25-2200_3000,,,1749196362.893
246,ETH-253063785,1749196388526,2,0.0477,0.047294,66.97,ETH-25JUL25-2200-P,2455.04,buy,250.0,250.0,2.0,BLOCK-203639,,ETH-RR-25JUL25-2200_3000,,,1749196388.526
247,ETH-253063788,1749196391210,2,0.0475,0.047271,66.82,ETH-25JUL25-2200-P,2455.13,buy,1000.0,1000.0,2.0,BLOCK-203640,,ETH-RR-25JUL25-2200_3000,,,1749196391.21
248,ETH-253063814,1749196395264,0,0.048,0.047269,67.22,ETH-25JUL25-2200-P,2455.07,buy,184.0,184.0,2.0,BLOCK-203641,,ETH-RR-25JUL25-2200_3000,,,1749196395.264
249,ETH-253064031,1749196430776,2,0.0478,0.047348,66.99,ETH-25JUL25-2200-P,2454.59,buy,1000.0,1000.0,2.0,BLOCK-203642,,ETH-RR-25JUL25-2200_3000,,,1749196430.776
250,ETH-253064290,1749196489747,2,0.0477,0.047417,66.85,ETH-25JUL25-2200-P,2454.22,buy,1000.0,1000.0,2.0,BLOCK-203643,,ETH-RR-25JUL25-2200_3000,,,1749196489.747
251,ETH-253064490,1749196517535,0,0.0478,0.047393,66.96,ETH-25JUL25-2200-P,2454.26,buy,1000.0,1000.0,2.0,BLOCK-203645,,ETH-RR-25JUL25-2200_3000,,,1749196517.535
252,ETH-253064724,1749196593596,1,0.0478,0.047356,67.0,ETH-25JUL25-2200-P,2454.55,buy,1000.0,1000.0,2.0,BLOCK-203646,,ETH-RR-25JUL25-2200_3000,,,1749196593.596
253,ETH-253064983,1749196670196,2,0.0475,0.047206,66.88,ETH-25JUL25-2200-P,2455.68,buy,1000.0,1000.0,2.0,BLOCK-203647,,ETH-RR-25JUL25-2200_3000,,,1749196670.196
254,ETH-253065292,1749196742332,0,0.0477,0.047338,66.97,ETH-25JUL25-2200-P,2455.07,buy,1000.0,1000.0,2.0,BLOCK-203648,,ETH-RR-25JUL25-2200_3000,,,1749196742.332
255,ETH-253065322,1749196752455,1,0.0477,0.047286,66.99,ETH-25JUL25-2200-P,2455.24,buy,250.0,250.0,2.0,BLOCK-203649,,ETH-RR-25JUL25-2200_3000,,,1749196752.455
256,ETH-253065426,1749196793088,2,0.0474,0.047184,66.82,ETH-25JUL25-2200-P,2456.15,buy,1000.0,1000.0,2.0,BLOCK-203650,,ETH-RR-25JUL25-2200_3000,,,1749196793.088
257,ETH-253069726,1749198717672,2,0.045,0.045162,66.08,ETH-25JUL25-2200-P,2465.27,sell,4.0,4.0,,,,,,,1749198717.672
258,ETH-253076785,1749204169269,2,0.044,0.043932,65.96,ETH-25JUL25-2200-P,2471.63,sell,5.0,5.0,,,,,,,1749204169.269
259,ETH-253095377,1749216974575,2,0.042,0.041664,66.19,ETH-25JUL25-2200-P,2490.27,buy,1.0,1.0,,,,,,,1749216974.575
260,ETH-253102217,1749220121601,2,0.039,0.039848,65.55,ETH-25JUL25-2200-P,2510.77,sell,7.0,7.0,,,,,,,1749220121.601
261,ETH-253102218,1749220122344,3,0.039,0.039848,65.56,ETH-25JUL25-2200-P,2510.89,sell,40.0,40.0,,,,,,,1749220122.344
262,ETH-253110741,1749225845019,0,0.0395,0.039493,66.23,ETH-25JUL25-2200-P,2512.1,sell,1.0,1.0,,,,,,,1749225845.019
