trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,liquidation,unix_sec
79,ETH-252341019,1748711917167,2,0.1575,0.157309,67.1,ETH-25JUL25-2300-C,2540.12,sell,1.0,1.0,,,,,1748711917.167
80,ETH-252368680,1748742876140,2,0.1505,0.151541,67.54,ETH-25JUL25-2300-C,2506.48,sell,2.0,2.0,,,,,1748742876.14
81,ETH-252483988,1748842044240,2,0.1455,0.145474,66.82,ETH-25JUL25-2300-C,2492.96,sell,1.0,1.0,,,,,1748842044.24
82,ETH-252508040,1748857921767,2,0.141,0.141475,66.19,ETH-25JUL25-2300-C,2477.95,sell,10.0,10.0,,,,,1748857921.767
83,ETH-252886332,1749134322730,0,0.1605,0.15998,65.48,ETH-25JUL25-2300-C,2584.66,buy,5.0,5.0,,,,,1749134322.73
84,ETH-252973338,1749156480021,2,0.1285,0.127302,66.44,ETH-25JUL25-2300-C,2435.67,buy,1.0,1.0,,,,,1749156480.021
85,ETH-253020418,1749169336206,2,0.1175,0.119918,65.4,ETH-25JUL25-2300-C,2391.58,sell,1.0,1.0,,,,,1749169336.206
86,ETH-253106925,1749223035023,0,0.146,0.146774,65.14,ETH-25JUL25-2300-C,2527.84,sell,3.0,3.0,,,,,1749223035.023
87,ETH-253133599,1749255483760,2,0.13,0.13018,64.71,ETH-25JUL25-2300-C,2459.87,sell,1.0,1.0,,,,,1749255483.76
88,ETH-253145742,1749281482676,0,0.138,0.137484,65.31,ETH-25JUL25-2300-C,2493.68,sell,14.0,14.0,,,,,1749281482.676
89,ETH-253381344,1749516808712,0,0.186,0.1862,67.64,ETH-25JUL25-2300-C,2705.4,buy,40.0,40.0,,,,,1749516808.712
90,ETH-253445924,1749557641876,0,0.197,0.199763,67.52,ETH-25JUL25-2300-C,2753.53,sell,2.0,2.0,,,,,1749557641.876
91,ETH-253810148,1749727351169,2,0.192,0.193826,67.78,ETH-25JUL25-2300-C,2741.55,buy,1.0,1.0,,,,,1749727351.169
