trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,block_rfq_id,combo_trade_id,combo_id,unix_sec
197,ETH-252314921,1748692452991,0,0.0575,0.057916,66.67,ETH-25JUL25-2300-P,2520.43,buy,1.0,1.0,,,,,,1748692452.991
198,ETH-252354911,1748725946336,2,0.055,0.054204,68.12,ETH-25JUL25-2300-P,2549.13,buy,6.0,6.0,,,,,,1748725946.336
199,ETH-252378000,1748756711247,0,0.058,0.058291,67.35,ETH-25JUL25-2300-P,2518.31,buy,1.0,1.0,,,,,,1748756711.247
201,ETH-252473962,1748833613540,1,0.059,0.059434,67.12,ETH-25JUL25-2300-P,2504.69,sell,5.0,5.0,,,,,,1748833613.54
200,ETH-252473961,1748833613540,0,0.059,0.059434,67.12,ETH-25JUL25-2300-P,2504.69,sell,1.0,1.0,,,,,,1748833613.54
202,ETH-252516582,1748864781638,0,0.0615,0.061404,66.41,ETH-25JUL25-2300-P,2480.79,sell,1.0,1.0,,,,,,1748864781.638
203,ETH-252555082,1748881013614,2,0.0525,0.052936,66.01,ETH-25JUL25-2300-P,2539.53,sell,9.0,9.0,,,,,,1748881013.614
204,ETH-252680323,1748966796092,2,0.042,0.041978,65.92,ETH-25JUL25-2300-P,2617.84,buy,1.0,1.0,,,,,,1748966796.092
205,ETH-252700057,1748985116598,0,0.0425,0.042303,65.85,ETH-25JUL25-2300-P,2611.31,buy,1.0,1.0,,,,,,1748985116.598
206,ETH-252702888,1748987767787,0,0.0445,0.043816,66.12,ETH-25JUL25-2300-P,2597.31,buy,2.0,2.0,,,,,,1748987767.787
207,ETH-252703415,1748987772899,0,0.0455,0.045009,65.78,ETH-25JUL25-2300-P,2586.02,buy,1.0,1.0,,,,,,1748987772.899
208,ETH-252721575,1749006739720,2,0.0405,0.040511,65.48,ETH-25JUL25-2300-P,2624.8,buy,12.0,12.0,,,,,,1749006739.72
209,ETH-252722491,1749007123583,2,0.0395,0.039598,65.43,ETH-25JUL25-2300-P,2633.53,sell,10.0,10.0,,,,,,1749007123.583
211,ETH-252724714,1749009386101,1,0.04,0.039745,65.63,ETH-25JUL25-2300-P,2631.0,buy,10.0,10.0,,,,,,1749009386.101
210,ETH-252724713,1749009386101,0,0.04,0.039745,65.63,ETH-25JUL25-2300-P,2631.0,buy,1.0,1.0,,,,,,1749009386.101
212,ETH-252833050,1749110324227,1,0.04,0.040876,63.93,ETH-25JUL25-2300-P,2604.75,sell,1.0,1.0,,,,,,1749110324.227
213,ETH-252833051,1749110325713,1,0.04,0.040866,63.94,ETH-25JUL25-2300-P,2604.84,sell,1.0,1.0,,,,,,1749110325.713
214,ETH-252833052,1749110326973,1,0.04,0.040866,63.94,ETH-25JUL25-2300-P,2604.84,sell,1.0,1.0,,,,,,1749110326.973
215,ETH-252833053,1749110328205,1,0.04,0.040855,63.94,ETH-25JUL25-2300-P,2604.84,sell,1.0,1.0,,,,,,1749110328.205
