trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,liquidation,block_rfq_id,unix_sec
966,ETH-252255098,1748653347192,2,0.079,0.07872,67.04,ETH-25JUL25-2700-C,2518.84,sell,3.0,3.0,,,,,,,1748653347.192
967,ETH-252277902,1748662125941,2,0.0769,0.076373,67.39,ETH-25JUL25-2700-C,2502.66,buy,500.0,500.0,2.0,BLOCK-202485,ETH-CS-25JUL25-2700_3200,,,5036.0,1748662125.941
968,ETH-252279235,1748663706906,0,0.0785,0.077874,67.51,ETH-25JUL25-2700-C,2512.32,buy,1.0,1.0,,,,,,,1748663706.906
969,ETH-252281750,1748665739399,0,0.079,0.079192,67.04,ETH-25JUL25-2700-C,2520.33,buy,1.0,1.0,,,,,,,1748665739.399
970,ETH-252281762,1748665751816,1,0.079,0.078986,67.1,ETH-25JUL25-2700-C,2519.72,buy,1.0,1.0,,,,,,,1748665751.816
971,ETH-252281763,1748665752077,1,0.079,0.078986,67.1,ETH-25JUL25-2700-C,2519.72,buy,1.0,1.0,,,,,,,1748665752.077
972,ETH-252281789,1748665772900,1,0.079,0.078998,67.04,ETH-25JUL25-2700-C,2520.37,buy,1.0,1.0,,,,,,,1748665772.9
973,ETH-252281791,1748665778755,1,0.079,0.078984,67.05,ETH-25JUL25-2700-C,2520.3,buy,1.0,1.0,,,,,,,1748665778.755
974,ETH-252281793,1748665787402,1,0.079,0.078996,67.04,ETH-25JUL25-2700-C,2520.44,buy,1.0,1.0,,,,,,,1748665787.402
975,ETH-252281796,1748665806776,1,0.079,0.078986,67.02,ETH-25JUL25-2700-C,2520.68,buy,1.0,1.0,,,,,,,1748665806.776
976,ETH-252281827,1748665818666,1,0.079,0.078994,66.99,ETH-25JUL25-2700-C,2520.94,buy,1.0,1.0,,,,,,,1748665818.666
977,ETH-252281879,1748665851423,1,0.079,0.078977,67.02,ETH-25JUL25-2700-C,2520.68,buy,1.0,1.0,,,,,,,1748665851.423
978,ETH-252281881,1748665852395,1,0.079,0.078952,66.98,ETH-25JUL25-2700-C,2521.03,buy,1.0,1.0,,,,,,,1748665852.395
979,ETH-252281921,1748665889723,1,0.079,0.079045,66.84,ETH-25JUL25-2700-C,2522.34,buy,1.0,1.0,,,,,,,1748665889.723
980,ETH-252281963,1748665918790,1,0.079,0.07908,66.71,ETH-25JUL25-2700-C,2523.61,buy,39.0,39.0,,,,,,,1748665918.79
