trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,block_trade_leg_count,block_trade_id,amount,combo_id,combo_trade_id,block_rfq_id,liquidation,unix_sec
633,ETH-252343073,1748713272935,0,0.0685,0.067922,67.69,ETH-25JUL25-2800-C,2538.43,buy,1.0,,,1.0,,,,,1748713272.935
634,ETH-252343074,1748713272937,1,0.0685,0.067922,67.69,ETH-25JUL25-2800-C,2538.43,sell,2.0,,,2.0,,,,,1748713272.937
635,ETH-252371680,1748745071138,2,0.0645,0.065417,67.48,ETH-25JUL25-2800-C,2512.67,sell,1.0,,,1.0,,,,,1748745071.138
638,ETH-252431964,1748799283900,1,0.0705,0.07031,68.95,ETH-25JUL25-2800-C,2545.78,buy,5.0,,,5.0,,,,,1748799283.9
636,ETH-252431962,1748799283900,0,0.0705,0.07031,68.95,ETH-25JUL25-2800-C,2545.78,buy,1.0,,,1.0,,,,,1748799283.9
637,ETH-252431963,1748799283900,1,0.0705,0.07031,68.95,ETH-25JUL25-2800-C,2545.78,buy,185.0,,,185.0,,,,,1748799283.9
639,ETH-252431965,1748799283905,1,0.0705,0.07031,68.95,ETH-25JUL25-2800-C,2545.78,sell,125.0,,,125.0,,,,,1748799283.905
641,ETH-252558199,1748882893581,3,0.0645,0.064877,65.85,ETH-25JUL25-2800-C,2544.66,sell,7.0,,,7.0,,,,,1748882893.581
640,ETH-252558198,1748882893581,2,0.0645,0.064877,65.85,ETH-25JUL25-2800-C,2544.66,sell,7.0,,,7.0,,,,,1748882893.581
642,ETH-252584209,1748897437475,2,0.0635,0.063569,65.74,ETH-25JUL25-2800-C,2540.34,sell,100.0,,,100.0,,,,,1748897437.475
643,ETH-252629625,1748923369807,0,0.0725,0.072268,65.74,ETH-25JUL25-2800-C,2605.68,buy,1.0,,,1.0,,,,,1748923369.807
644,ETH-252630962,1748925912998,2,0.0715,0.0709,66.01,ETH-25JUL25-2800-C,2596.41,buy,1.0,,,1.0,,,,,1748925912.998
645,ETH-252633012,1748930234342,0,0.074,0.073506,66.11,ETH-25JUL25-2800-C,2613.04,buy,1.0,,,1.0,,,,,1748930234.342
646,ETH-252649892,1748948716730,2,0.0725,0.072599,64.85,ETH-25JUL25-2800-C,2617.66,buy,12.0,,,12.0,,,,,1748948716.73
647,ETH-252666982,1748959630365,0,0.0735,0.073429,65.16,ETH-25JUL25-2800-C,2622.06,sell,50.0,,,50.0,,,,,1748959630.365
648,ETH-252672217,1748962514720,0,0.0775,0.077014,65.29,ETH-25JUL25-2800-C,2648.3,buy,1.0,,,1.0,,,,,1748962514.72
649,ETH-252690427,1748975836656,2,0.071,0.071577,64.51,ETH-25JUL25-2800-C,2612.89,sell,1.0,,,1.0,,,,,1748975836.656
650,ETH-252699102,1748984405450,0,0.0715,0.071872,64.58,ETH-25JUL25-2800-C,2616.64,sell,1.0,,,1.0,,,,,1748984405.45
651,ETH-252726969,1749013204330,0,0.0745,0.074059,64.71,ETH-25JUL25-2800-C,2639.21,buy,1.0,,,1.0,,,,,1749013204.33
652,ETH-252726977,1749013227394,1,0.0745,0.073935,64.78,ETH-25JUL25-2800-C,2638.54,buy,1.0,,,1.0,,,,,1749013227.394
653,ETH-252726999,1749013241344,2,0.074,0.073827,64.54,ETH-25JUL25-2800-C,2637.56,sell,1.0,,,1.0,,,,,1749013241.344
654,ETH-252727022,1749013257358,3,0.074,0.073741,64.59,ETH-25JUL25-2800-C,2637.01,sell,1.0,,,1.0,,,,,1749013257.358
657,ETH-252727673,1749013674485,1,0.0755,0.074944,64.88,ETH-25JUL25-2800-C,2644.25,buy,53.0,,,53.0,,,,,1749013674.485
655,ETH-252727671,1749013674485,0,0.0755,0.074944,64.88,ETH-25JUL25-2800-C,2644.25,buy,6.0,,,6.0,,,,,1749013674.485
656,ETH-252727672,1749013674485,1,0.0755,0.074944,64.88,ETH-25JUL25-2800-C,2644.25,buy,1.0,,,1.0,,,,,1749013674.485
