trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,amount,block_trade_leg_count,block_trade_id,combo_id,combo_trade_id,block_rfq_id,liquidation,unix_sec
551,ETH-252264537,1748655429144,2,0.044,0.044777,67.87,ETH-25JUL25-3000-C,2498.62,sell,3.0,3.0,,,,,,,1748655429.144
552,ETH-252292163,1748679396507,0,0.0475,0.047037,69.15,ETH-25JUL25-3000-C,2519.01,sell,1.0,1.0,,,,,,,1748679396.507
553,ETH-252296412,1748682110053,0,0.048,0.047567,68.97,ETH-25JUL25-3000-C,2525.25,buy,1.0,1.0,,,,,,,1748682110.053
554,ETH-252296413,1748682110061,1,0.048,0.047567,68.97,ETH-25JUL25-3000-C,2525.25,sell,3.0,3.0,,,,,,,1748682110.061
555,ETH-252354539,1748725721236,0,0.05,0.049901,68.9,ETH-25JUL25-3000-C,2550.02,buy,1.0,1.0,,,,,,,1748725721.236
556,ETH-252357648,1748729965522,2,0.049,0.049647,68.95,ETH-25JUL25-3000-C,2540.27,sell,25.0,25.0,,,,,,,1748729965.522
557,ETH-252357665,1748730023145,3,0.049,0.049782,68.84,ETH-25JUL25-3000-C,2541.54,sell,50.0,50.0,,,,,,,1748730023.145
558,ETH-252357667,1748730031948,3,0.049,0.049776,68.84,ETH-25JUL25-3000-C,2541.52,sell,50.0,50.0,,,,,,,1748730031.948
559,ETH-252357672,1748730063343,3,0.049,0.049742,68.87,ETH-25JUL25-3000-C,2541.12,sell,15.0,15.0,,,,,,,1748730063.343
560,ETH-252373203,1748747881125,2,0.045,0.04585,68.81,ETH-25JUL25-3000-C,2505.53,sell,1.0,1.0,,,,,,,1748747881.125
561,ETH-252426455,1748795204848,0,0.05,0.050071,70.08,ETH-25JUL25-3000-C,2541.15,buy,1.0,1.0,,,,,,,1748795204.848
562,ETH-252432023,1748799313747,2,0.0495,0.050229,69.33,ETH-25JUL25-3000-C,2546.65,sell,65.0,65.0,,,,,,,1748799313.747
564,ETH-252435450,1748802105916,3,0.048,0.04737,70.19,ETH-25JUL25-3000-C,2522.52,buy,36.0,36.0,,,,,,,1748802105.916
565,ETH-252435451,1748802105916,3,0.048,0.04737,70.19,ETH-25JUL25-3000-C,2522.52,buy,13.0,13.0,,,,,,,1748802105.916
563,ETH-252435449,1748802105916,2,0.048,0.04737,70.19,ETH-25JUL25-3000-C,2522.52,buy,1.0,1.0,,,,,,,1748802105.916
566,ETH-252440594,1748804240064,2,0.0475,0.047345,70.06,ETH-25JUL25-3000-C,2519.47,sell,1.0,1.0,,,,,,,1748804240.064
567,ETH-252457603,1748816653469,0,0.049,0.048881,69.42,ETH-25JUL25-3000-C,2543.09,buy,1.0,1.0,,,,,,,1748816653.469
568,ETH-252457609,1748816662436,1,0.049,0.048911,69.46,ETH-25JUL25-3000-C,2542.67,sell,499.0,499.0,,,,,,,1748816662.436
569,ETH-252484995,1748843101263,2,0.042,0.041968,68.71,ETH-25JUL25-3000-C,2488.0,sell,1.0,1.0,,,,,,,1748843101.263
570,ETH-252516437,1748864758219,2,0.04,0.039895,68.1,ETH-25JUL25-3000-C,2478.28,sell,1.0,1.0,,,,,,,1748864758.219
571,ETH-252524104,1748870523050,0,0.041,0.04093,67.92,ETH-25JUL25-3000-C,2491.42,sell,50.0,50.0,,,,,,,1748870523.05
572,ETH-252533822,1748873201995,0,0.0425,0.042598,67.6,ETH-25JUL25-3000-C,2510.94,buy,50.0,50.0,,,,,,,1748873201.995
573,ETH-252587402,1748899501088,0,0.0445,0.044639,66.74,ETH-25JUL25-3000-C,2546.19,buy,11.0,11.0,,,,,,,1748899501.088
574,ETH-252630964,1748925915561,0,0.05,0.049491,66.82,ETH-25JUL25-3000-C,2596.89,buy,1.0,1.0,,,,,,,1748925915.561
575,ETH-252641462,1748939375177,1,0.05,0.050494,66.34,ETH-25JUL25-3000-C,2605.78,sell,10.0,10.0,,,,,,,1748939375.177
576,ETH-252641463,1748939375177,1,0.05,0.050494,66.34,ETH-25JUL25-3000-C,2605.78,sell,10.0,10.0,,,,,,,1748939375.177
577,ETH-252652926,1748953233259,2,0.0492,0.04933,65.78,ETH-25JUL25-3000-C,2605.76,sell,170.0,170.0,2.0,BLOCK-202861,ETH-CS-25JUL25-2600_3000,,5273.0,,1748953233.259
578,ETH-252657554,1748956522004,0,0.051,0.05084,65.94,ETH-25JUL25-3000-C,2620.7,buy,1.0,1.0,,,,,,,1748956522.004
579,ETH-252671009,1748962251355,0,0.053,0.053174,65.66,ETH-25JUL25-3000-C,2641.43,buy,1.0,1.0,,,,,,,1748962251.355
580,ETH-252709838,1748992343397,2,0.0485,0.048409,65.61,ETH-25JUL25-3000-C,2605.74,buy,1.0,1.0,,,,,,,1748992343.397
581,ETH-252710421,1748993760440,2,0.047,0.046842,65.67,ETH-25JUL25-3000-C,2592.09,buy,1.0,1.0,,,,,,,1748993760.44
582,ETH-252715436,1748999863237,0,0.049,0.048969,65.61,ETH-25JUL25-3000-C,2612.25,buy,1.0,1.0,,,,,,,1748999863.237
583,ETH-252717578,1749001101960,2,0.0485,0.04869,65.45,ETH-25JUL25-3000-C,2609.79,sell,9.0,9.0,,,,,,,1749001101.96
584,ETH-252717600,1749001118907,3,0.0485,0.048593,65.52,ETH-25JUL25-3000-C,2609.03,sell,11.0,11.0,,,,,,,1749001118.907
586,ETH-252719998,1749004587502,1,0.0495,0.04925,65.58,ETH-25JUL25-3000-C,2617.14,buy,1.0,1.0,,,,,,,1749004587.502
585,ETH-252719997,1749004587502,0,0.0495,0.04925,65.58,ETH-25JUL25-3000-C,2617.14,buy,1.0,1.0,,,,,,,1749004587.502
587,ETH-252725475,1749010520560,0,0.0505,0.050344,65.31,ETH-25JUL25-3000-C,2629.78,buy,1.0,1.0,,,,,,,1749010520.56
588,ETH-252755045,1749043233250,2,0.049,0.048574,65.38,ETH-25JUL25-3000-C,2618.48,buy,1.0,1.0,,,,,,,1749043233.25
