trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,contracts,combo_trade_id,amount,combo_id,block_trade_leg_count,block_trade_id,block_rfq_id,liquidation,unix_sec
1801,ETH-252254843,1748653253423,2,0.0335,0.03369,69.56,ETH-25JUL25-3200-C,2521.01,buy,7.0,,7.0,,,,,,1748653253.423
1802,ETH-252271395,1748657706530,2,0.033,0.033105,69.84,ETH-25JUL25-3200-C,2511.55,buy,1.0,,1.0,,,,,,1748657706.53
1803,ETH-252277903,1748662125941,2,0.0323,0.032535,69.9,ETH-25JUL25-3200-C,2502.66,sell,500.0,,500.0,ETH-CS-25JUL25-2700_3200,2.0,BLOCK-202485,5036.0,,1748662125.941
1804,ETH-252292743,1748679785046,0,0.034,0.034003,70.16,ETH-25JUL25-3200-C,2522.86,buy,1.0,,1.0,,,,,,1748679785.046
1805,ETH-252294614,1748681257834,1,0.034,0.033916,70.2,ETH-25JUL25-3200-C,2521.86,buy,1.0,,1.0,,,,,,1748681257.834
1806,ETH-252294966,1748681383924,0,0.0345,0.034615,70.02,ETH-25JUL25-3200-C,2530.35,sell,1.0,,1.0,,,,,,1748681383.924
1807,ETH-252304748,1748686477453,2,0.034,0.034007,69.74,ETH-25JUL25-3200-C,2530.05,buy,1.0,,1.0,,,,,,1748686477.453
1808,ETH-252309574,1748688207541,2,0.033,0.032915,69.75,ETH-25JUL25-3200-C,2518.47,buy,1.0,,1.0,,,,,,1748688207.541
1809,ETH-252314564,1748691718952,0,0.0335,0.033461,70.04,ETH-25JUL25-3200-C,2520.7,buy,1.0,,1.0,,,,,,1748691718.952
1810,ETH-252337485,1748707557118,0,0.034,0.033946,69.3,ETH-25JUL25-3200-C,2538.94,buy,1.0,,1.0,,,,,,1748707557.118
1811,ETH-252374066,1748748647494,2,0.033,0.032856,71.07,ETH-25JUL25-3200-C,2504.98,buy,2.0,,2.0,,,,,,1748748647.494
1812,ETH-252380313,1748759226356,0,0.0335,0.033471,70.78,ETH-25JUL25-3200-C,2516.57,buy,1.0,,1.0,,,,,,1748759226.356
1813,ETH-252398397,1748777938703,2,0.0325,0.032351,71.24,ETH-25JUL25-3200-C,2500.35,buy,1.0,,1.0,,,,,,1748777938.703
1814,ETH-252399694,1748779910371,0,0.033,0.032888,71.65,ETH-25JUL25-3200-C,2500.61,buy,1.0,,1.0,,,,,,1748779910.371
1815,ETH-252400366,1748780645103,1,0.033,0.032703,72.07,ETH-25JUL25-3200-C,2494.79,buy,1.0,,1.0,,,,,,1748780645.103
